variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,0.00011367448489931848,0.010961538165563526,-0.0333997355112067,-0.007483897762499549,0.00014363196103319998,0.0074907981791107,0.041193404844769,0.0057119127052018
dummy2,1000.0,-8.156554679134442e-05,0.009685520359861505,-0.029006377574305,-0.006621544464432175,-0.000328157844085,0.00688037954562265,0.0301018298542856,-0.0056225174601891
x1,1000.0,0.0780033285989526,2.9280371234739695,-7.630333104131144,-1.7430568876423298,0.1091629423223686,2.0577390331061145,28.20465045662809,28.20465045662809
x2,1000.0,0.03443469714680511,8.115157679787693,-23.32828607357056,-5.264286587887803,0.055669592726068945,5.137566550835469,75.05053271646806,75.05053271646806
x3,1000.0,-0.002325370539291864,1.821406711517246,-5.72135484566083,-1.2116598622120867,-0.0013950402621301,1.1374344048219627,17.754689591033177,17.754689591033177
